Column,Y_at_X=0
629,621.6176835791828
630,620.6902894477016
631,620.0391168207537
632,619.3879440526603
633,619.326722089554
634,619.9320485741601
635,620.5373747045884
636,621.093349295418
637,621.3022353676288
638,621.5111213901919
639,621.7200073587233
640,620.1557371028466
641,618.0905739021108
642,616.0254110352712
643,613.1532294296513
644,609.2340258884276
645,605.3148224196242
646,601.3381865117119
647,596.788677226278
648,592.2391681531208
649,587.68965891863
650,582.8734356281842
651,577.9670114091009
652,573.0605871551762
653,568.7554349887864
654,565.3381988148739
655,561.9209627759464
656,558.6945152278419
657,558.4268373681675
658,558.1591591796354
659,557.8914815171509
660,558.8486658750664
661,560.2875392609168
662,561.7264130398203
663,562.5036074354473
664,562.1792427194547
665,561.8548780882344
666,561.4858649242622
667,559.8148394655328
668,558.143814245826
669,556.472788921755
670,554.6186244536697
671,552.6827271399413
672,550.7468301500364
673,549.0616510768347
674,547.8419123142208
675,546.6221735021207
676,545.395032731035
677,543.3664677424562
678,541.3379021267504
679,539.30933701483
680,534.9827829884049
681,529.5173419063119
682,524.0519005615519
683,517.8055911109484
684,509.96326987491454
685,502.12094880249714
686,494.2786280948445
687,488.3424595517605
688,482.42776303674765
689,476.5130665042723
690,472.9254459434645
691,470.5928468229368
692,468.26024811807315
693,466.1245694209902
694,464.42540652630424
695,462.72624392539393
696,461.0270810126135
697,458.07090917447834
698,455.07929852689426
699,452.0876877600406
700,448.5295134487109
701,444.6453425153782
702,440.7611712327435
703,436.7139841908246
704,432.28173724499385
705,427.8494906254481
706,423.4172438280701
707,416.2425078442473
708,408.955299297501
709,401.6680906837399
710,391.0182036455122
711,378.3445676725893
712,365.67093162002385
713,351.746542759905
714,334.73742631036475
715,317.7283097317287
716,300.7191934215247
717,284.93701733049437
718,269.2150401067076
719,253.49306258979763
720,240.3788483658884
721,228.87305351585835
722,217.36725907904201
723,206.4340441431623
724,196.94189274740842
725,187.44974113500027
726,177.95758940082035
727,169.40923769773693
728,160.90977214493853
729,152.41030666246624
730,145.1085993502805
731,138.54808805794295
732,131.98757679251045
733,125.94536776366975
734,121.20153070618686
735,116.45769339291775
736,111.71385629039001
737,108.753201508829
738,105.87956662458036
739,103.00593167477516
740,101.0788886538106
741,99.72649979059013
742,98.374111367188
743,97.27145457589181
744,96.77535163898138
745,96.27924831229544
746,95.78314518083845
747,95.40401138347922
748,95.0295390267639
749,94.65506693652087
750,93.90337504214008
751,92.93236572470241
752,91.96135590172506
753,90.41380028739623
754,87.54423138329587
755,84.6746623866828
756,81.80509342128654
757,77.83211494217706
758,73.83161763979669
759,69.83112024221008
760,67.44546956214792
761,65.9357344062276
762,64.425999164814
763,64.21668489631375
764,66.74944069632053
765,69.28219624820203
766,71.81495175557431
767,75.55294975746057
768,79.29610492053278
769,83.03925947837142
770,85.9361589353439
771,88.41718637643098
772,90.89821360793123
773,93.0168630330647
774,94.45049032028918
775,95.88411810684053
776,97.3077674173703
777,98.29170647023663
778,99.27564497163942
779,100.25958407110838
780,101.21479813220976
781,102.15765119964762
782,103.10050419590804
783,104.02059907684504
784,104.90306040505395
785,105.785521805496
786,106.66685644929305
787,107.52894017886918
788,108.39102392984593
789,109.25310788000498
790,110.32861437697035
791,111.48124535197162
792,112.63387679718785
793,113.87288377964002
794,115.23386048050202
795,116.59483707194222
796,117.95063745453531
797,119.25735748482327
798,120.56407693615598
799,121.87079672247019
800,122.92183908832386
801,123.89951615960794
802,124.87719305800745
803,125.55722220208162
804,125.88710952852428
805,126.21699704377106
806,126.28068815250951
807,124.74593732888955
808,123.21118651698004
809,121.67643574079652
810,118.56123530765312
811,115.11513934264796
812,111.66904307233817
813,108.16351743799677
814,104.60131308521022
815,101.03910888345249
816,97.64727065456373
817,94.94690168999797
818,92.2465329358694
819,89.54616421417673
820,87.17403779622249
821,84.84482372628747
822,82.51560952621462
823,79.74663278602826
824,76.64856293128915
825,73.55049292527929
826,70.28250780672028
827,66.53205620485623
828,62.78160405796377
829,59.03115232666978
830,55.98513937568067
831,52.97632561387248
832,49.9675119964933
833,47.884273617663226
834,46.32133773587132
835,44.75840181041223
836,43.20343678512859
837,41.66455427078503
838,40.125671780376656
839,38.60737508954944
840,37.94249142937959
841,37.27760753151136
842,36.61272398063419
843,35.85754091817597
844,35.06666011938507
845,34.27577936241802
846,33.519633094635736
847,32.813313958208774
848,32.10699465032931
849,31.403150655137342
850,30.720226295924142
851,30.03730169417461
852,29.354377395535753
853,28.69203968713548
854,28.03478910978719
855,27.37753884307076
856,26.558300506199124
857,25.57634750331361
858,24.59439453495903
859,23.83231904497086
860,23.96697202797403
861,24.101625208215445
862,24.23627828894465
863,23.775559832243164
864,23.24571097958491
865,22.715861990046875
866,22.14466692132805
867,21.54545061687412
868,20.94623406937834
869,20.40873505645493
870,20.017211392528
871,19.625687439008164
872,19.2341636376762
873,18.614248451703254
874,17.994178522053126
875,17.374108407882446
876,16.914385882210112
877,16.522554760711454
878,16.130723488295747
879,15.88377408738802
880,15.848061969462597
881,15.8123498641364
882,15.681309864360328
883,14.796049679973319
884,13.91078984172767
885,13.025529715600555
886,12.489768881285915
887,12.03141603418523
888,11.573063659683719
889,11.137913061969547
890,10.72365019075714
891,10.30938753420055
892,9.859973359870805
893,9.29608601592337
894,8.73219840558679
895,8.168311122738915
896,7.92877437460742
897,7.70821015512311
898,7.4876458804576504
899,7.239478350004898
900,6.976815710121639
901,6.714153189704277
902,6.378537960702536
903,5.917512942915302
904,5.456487953447464
905,5.023697213199894
906,4.911137780381129
907,4.798578591961782
908,4.686019222425624
909,4.722898904427911
910,4.798208680580941
911,4.873518544104552
912,4.7436328519970345
913,4.417419584667119
914,4.091206411561452
915,3.763520635881806
916,3.4308432396984982
917,3.0981665415736175
918,2.7654893077004017
919,2.900839339104797
920,3.062997295533658
921,3.2251561184456192
922,3.1520909797116348
923,2.960544856313453
924,2.76899861922112
925,2.7041491514622695
926,2.841295394125071
927,2.9784414842739104
928,3.057723203112094
929,2.654680899702589
930,2.2516383446903117
931,1.8485959219209163
932,1.5665980514550786
933,1.3093881192808126
934,1.0521779670150428
935,1.1564859508845686
936,1.5516083539645715
937,1.9467310004743827
938,2.2857607637275943
939,2.4802835589353065
940,2.6748062175995813
941,2.8647293035578025
942,2.3334403519804745
943,1.8021518765757043
944,1.2708630529118157
945,1.0487215714919158
946,0.9384203866816712
947,0.8281186377331243
948,0.7689575638628594
949,0.7689575638628594
